"filename", "language", "Python", "Markdown", "XML", "comment", "blank", "total"
"d:\Document\repo\History\HistoryApplication\Algorithm\Bayes.py", "Python", 184, 0, 0, 6, 11, 201
"d:\Document\repo\History\HistoryApplication\Algorithm\K_Means.py", "Python", 138, 0, 0, 39, 28, 205
"d:\Document\repo\History\HistoryApplication\Algorithm\K_Means_Imple.py", "Python", 96, 0, 0, 28, 17, 141
"d:\Document\repo\History\HistoryApplication\Algorithm\Proxy.py", "Python", 61, 0, 0, 26, 13, 100
"d:\Document\repo\History\HistoryApplication\Algorithm\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Document\repo\History\HistoryApplication\Algorithm\apriori.py", "Python", 82, 0, 0, 1, 11, 94
"d:\Document\repo\History\HistoryApplication\Algorithm\dataIntegration.py", "Python", 68, 0, 0, 24, 11, 103
"d:\Document\repo\History\HistoryApplication\Algorithm\fpGrowth.py", "Python", 80, 0, 0, 7, 17, 104
"d:\Document\repo\History\HistoryApplication\Algorithm\listen.py", "Python", 41, 0, 0, 59, 15, 115
"d:\Document\repo\History\HistoryApplication\Algorithm\recommend.py", "Python", 27, 0, 0, 0, 5, 32
"d:\Document\repo\History\HistoryApplication\Algorithm\visitVisible.py", "Python", 374, 0, 0, 54, 61, 489
"d:\Document\repo\History\HistoryApplication\IndexForm.py", "Python", 27, 0, 0, 7, 8, 42
"d:\Document\repo\History\HistoryApplication\Main.py", "Python", 22, 0, 0, 2, 9, 33
"d:\Document\repo\History\HistoryApplication\Resource\stopwords-master\README.md", "Markdown", 0, 9, 0, 0, 5, 14
"d:\Document\repo\History\HistoryApplication\UI\Index.ui", "XML", 0, 0, 55, 0, 1, 56
"d:\Document\repo\History\HistoryApplication\init.py", "Python", 10, 0, 0, 20, 4, 34
"Total", "-", 1210, 9, 55, 273, 217, 1764